,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
205,CHEMBL4791790,11140.0,nM,O=C(Nc1cccc2ccccc12)NC1CCN(c2ncnc3[nH]ncc23)CC1,4.95311480916229,387.1807582920001,5,3,3.2966000000000006,True
206,CHEMBL2403069,11300.0,nM,CN1CCN(c2ccc(Nc3ncc(Cl)c(-c4cccc(CC#N)c4)n3)cc2C(=O)O)CC1,4.94692155651658,462.157101656,7,2,4.056680000000002,True
207,CHEMBL4791897,11560.0,nM,O=C(CCN1CCCCC1)Nc1ccc2c(c1)/C(=C\c1ccc3[nH]ncc3c1)C(=O)N2,4.93704216591549,415.20082504,4,3,3.8701000000000008,True
208,CHEMBL4741943,12150.0,nM,Cc1cc(/C=C2/C(=O)Nc3ccc(NC(=O)CCN4CCOCC4)cc32)cc(C)c1O,4.915423722065669,421.200156344,5,3,3.162540000000002,True
209,CHEMBL4741285,13170.0,nM,O=C(CCN1CCCCC1)Nc1ccc2c(c1)/C(=C\c1ccc(O)cc1)C(=O)N2,4.8804142250382165,391.18959166,4,3,3.6994000000000016,True
210,CHEMBL4791047,13760.0,nM,COc1ccc(NC(=O)N2CCC(Nc3ncnc4[nH]ncc34)CC2)cc1,4.861381566100508,367.175672912,6,3,2.4699,True
211,CHEMBL3892617,14000.0,nM,CN(c1cccc(CO)c1)c1nc(Nc2cc(N3CCOCC3)cc(S(C)(=O)=O)c2)ncc1F,4.853871964321762,487.16895353199993,9,2,2.8596000000000013,True
212,CHEMBL165,15000.0,nM,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,4.823908740944319,228.078644244,3,3,2.9738000000000016,True
213,CHEMBL4791617,15110.0,nM,COc1ccc(NC(=S)N2CCC(Nc3ncnc4[nH]ncc34)CC2)cc1,4.820735535660974,383.1528292920001,6,3,2.6348000000000003,True
214,CHEMBL4783433,15750.0,nM,O=C(Nc1ccc(C(F)(F)F)cc1)N1CCC(Nc2ncnc3[nH]ncc23)CC1,4.80271944187438,405.1524928560001,5,3,3.480100000000001,True
215,CHEMBL140,16000.0,nM,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,4.795880017344075,368.12598836,6,2,3.3699000000000026,True
216,CHEMBL4786269,16400.0,nM,O=C(NC1CCN(c2ncnc3[nH]ncc23)CC1)c1ccc(Br)cc1,4.785156151952302,400.064721264,5,2,2.5142,True
217,CHEMBL4787384,17440.0,nM,Cc1ccc(NC(=O)N2CCC(Nc3ncnc4[nH]ncc34)CC2)cc1,4.758453519403451,351.180758292,5,3,2.7697200000000004,True
218,CHEMBL4792139,17890.0,nM,O=C(Nc1ccc(Br)cc1)N1CCC(Nc2ncnc3[nH]ncc23)CC1,4.747389659432627,415.0756202960001,5,3,3.2238000000000007,True
219,CHEMBL271138,18000.0,nM,c1nc(N2CCOCC2)c2nc[nH]c2n1,4.7447274948966935,205.096359972,5,1,0.1895,True
220,CHEMBL271139,18000.0,nM,c1nc(NC2CCCC2)c2nc[nH]c2n1,4.7447274948966935,203.117095416,4,2,1.7073999999999998,True
221,CHEMBL4776242,19550.0,nM,Cc1ccc(NC(=S)N2CCC(Nc3ncnc4[nH]ncc34)CC2)cc1,4.708853238268114,367.15791467200006,5,3,2.9346200000000007,True
222,CHEMBL4747878,22330.0,nM,COc1ccc(/C=C2/C(=O)Nc3ccc(NC(=O)CCN4CCOCC4)cc32)cc1OC,4.651111276928562,437.195070964,6,2,2.8573000000000013,True
223,CHEMBL407278,23000.0,nM,CC1CC(Nc2ncnc3[nH]cnc23)CC(C)(C)C1,4.638272163982407,259.179695672,4,2,2.9796000000000014,True
224,CHEMBL408244,23000.0,nM,CC(Sc1ncnc2[nH]cnc12)c1ccccc1Cl,4.638272163982407,290.039295032,4,1,3.859600000000002,True
225,CHEMBL4747628,23140.0,nM,O=C1Nc2ccc(NC(=O)N3CCOCC3)cc2/C1=C\c1ccc(F)c(Cl)c1,4.635636645384269,401.094247304,3,2,3.8359000000000014,True
226,CHEMBL4791784,24110.0,nM,COc1cc(/C=C2/C(=O)Nc3ccc(NC(=O)CCN4CCOCC4)cc32)cc(OC)c1OC,4.617802789622546,467.205635648,7,2,2.865900000000001,True
227,CHEMBL456309,25000.0,nM,CC(C)=CCc1cc(/C=C/C(=O)O)cc(CC=C(C)C)c1O,4.6020599913279625,300.172544628,2,2,4.507400000000005,True
228,CHEMBL4793325,25390.0,nM,O=C1Nc2ccc(NC(=O)N3CCOCC3)cc2/C1=C\c1ccc2[nH]ncc2c1,4.595337299126278,389.1487894680001,4,3,2.9197000000000006,True
229,CHEMBL4799919,29210.0,nM,O=C(c1ccc(Br)cc1)N1CCC(Nc2ncnc3[nH]ncc23)CC1,4.534468443026451,400.0647212640001,5,2,2.8321000000000005,True
230,CHEMBL259040,31000.0,nM,c1nc2cnc(NC3CCCCC3)nc2[nH]1,4.508638306165727,217.13274548,4,2,2.0975,True
231,CHEMBL4790143,31090.0,nM,Cc1cc(C)c(C(=O)N2CCC(Nc3ncnc4[nH]ncc34)CC2)c(C)c1,4.507379277956808,364.201159388,5,2,2.994860000000001,True
232,CHEMBL4779069,33210.0,nM,Cc1ccccc1C(=O)N1CCC(Nc2ncnc3[nH]ncc23)CC1,4.478731124401615,336.16985926,5,2,2.37802,True
233,CHEMBL469,36000.0,nM,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,4.443697499232713,255.089543276,3,1,2.291,True
234,CHEMBL259041,38000.0,nM,CCCCCSc1ncnc2[nH]cnc12,4.42021640338319,222.093917448,4,1,2.6352,True
235,CHEMBL4777324,39450.0,nM,Cc1ccc(C(=O)N2CCC(Nc3ncnc4[nH]ncc34)CC2)cc1,4.403952992454561,336.16985925999995,5,2,2.37802,True
236,CHEMBL3609328,54000.0,nM,CN1CCN(C2=Nc3cc(F)ccc3Nc3ccc(F)cc32)CC1,4.267606240177032,328.149953016,4,1,3.347500000000001,True
